dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number
B00009,2019-10-01 00:23:00,2019-10-01 00:35:00,264.0,264.0,,B00009
B00013,2019-10-01 00:11:29,2019-10-01 00:13:22,264.0,264.0,,B00013
B00014,2019-10-01 00:11:43,2019-10-01 00:37:20,264.0,264.0,,B00014
B00014,2019-10-01 00:56:29,2019-10-01 00:57:47,264.0,264.0,,B00014
B00014,2019-10-01 00:23:09,2019-10-01 00:28:27,264.0,264.0,,B00014
B00021         ,2019-10-01 00:00:48,2019-10-01 00:07:12,129.0,129.0,,B00021         
B00021         ,2019-10-01 00:47:23,2019-10-01 00:53:25,57.0,57.0,,B00021         
B00021         ,2019-10-01 00:10:06,2019-10-01 00:19:50,173.0,173.0,,B00021         
B00021         ,2019-10-01 00:51:37,2019-10-01 01:06:14,226.0,226.0,,B00021         
B00021         ,2019-10-01 00:28:23,2019-10-01 00:34:33,56.0,56.0,,B00021         
B00021         ,2019-10-01 00:31:17,2019-10-01 00:51:52,82.0,82.0,,B00021         
B00037,2019-10-01 00:07:41,2019-10-01 00:15:23,264.0,71.0,,B00037
B00037,2019-10-01 00:13:38,2019-10-01 00:25:51,264.0,39.0,,B00037
B00037,2019-10-01 00:42:40,2019-10-01 00:53:47,264.0,188.0,,B00037
B00037,2019-10-01 00:58:46,2019-10-01 01:10:11,264.0,91.0,,B00037
B00037,2019-10-01 00:09:49,2019-10-01 00:14:37,264.0,71.0,,B00037
B00037,2019-10-01 00:22:35,2019-10-01 00:36:53,264.0,35.0,,B00037
B00037,2019-10-01 00:54:27,2019-10-01 01:03:37,264.0,61.0,,B00037
B00037,2019-10-01 00:08:12,2019-10-01 00:28:47,264.0,198.0,,B00037
B00053,2019-10-01 00:05:24,2019-10-01 00:53:03,264.0,264.0,,
B00053,2019-10-01 00:03:32,2019-10-01 00:51:11,264.0,264.0,,B00888
B00053,2019-10-01 00:23:26,2019-10-01 00:41:13,264.0,264.0,,B00053
B00111,2019-10-01 00:47:58,2019-10-01 00:57:59,264.0,80.0,,B00111
B00111,2019-10-01 00:37:57,2019-10-01 01:06:06,264.0,244.0,,B00111
B00111,2019-10-01 00:15:59,2019-10-01 00:37:01,264.0,244.0,,B00111
B00111,2019-10-01 00:31:59,2019-10-01 00:56:59,264.0,51.0,,B00111
B00111,2019-10-01 00:27:59,2019-10-01 01:11:16,264.0,265.0,,B00111
B00160,2019-10-01 00:55:00,2019-10-01 00:59:00,264.0,264.0,,B00160
B00160,2019-10-01 00:13:00,2019-10-01 00:51:00,264.0,264.0,,B00160
